facts,success
"Dogs evolved from an extinct wolf-like creature in Eurasia 40,000 years ago.",True
"Ancient Egyptians revered their dogs. When a pet dog would die, the owners shaved off their eyebrows, smeared mud in their hair, and mourned aloud for days.",True
"Small quantities of grapes and raisins can cause renal failure in dogs. Chocolate, macadamia nuts, cooked onions, or anything with caffeine can also be harmful.",True
An African wolf dog known as the Basenji is the only dog in the world that cannot bark.,True
"Hound dogs and long-nosed dogs also have a unique name for their head-type: ""Dolichocephalic.""",True
A dog can both sniff and breathe at the same time.,True
Toto in The Wizard of Oz was played by a female Cairn Terrier named Terry.,True
"Stroking dogs and gazing into their eyes releases the ""feel good"" hormone oxytocin for both people and dogs.",True
The most popular breed of domestic dog in the US and the UK is the Labrador Retriever.,True
"Dogs can smell about 1,000 times better than humans. While humans have 5 million smell-detecting cells, dogs have more than 220 million. The part of the brain that interprets smell is also four times larger in dogs than in humans.",True
The average number of puppies in a litter is four to six.,True
"In general, smaller breeds live longer than larger breeds.",True
Your pup reaches his full size between 12 and 24 months.,True
"A Border Collie named Chaser has learned the names of 1,022 toys, and can retrieve each by name.",True
"The longer a dog’s nose, the more effective it’s internal cooling system.",True
Smaller breeds mature faster than larger breeds.,True
Dogs sweat through the pads of their feet.,True
"At the age of 4 weeks, most dogs have developed the majority of their vocalizations.",True
Average body temperature for a dog is 101.2 degrees.,True
"In addition to ""formal"" forms of dog training (operant conditioning, reinforcement, or classical conditioning), dogs are able to learn merely from observation.",True
"The Akita is one of the most challenging dogs to own. Some insurance companies have even characterized it as the #1 ""bad dog"" and may even raise an Akita owner’s homeowner insurance costs.",True
"At the end of WWI, the German government trained the first guide dogs for war-blinded soldiers.",True
"Dogs can see in color, though they most likely see colors similar to a color-blind human. They can see better when the light is low.",True
"The oldest known dog bones were found in Asia and date as far back as 10,000 B.C. The first identifiable dog breed appeared about 9000 B.C. and was probably a type of Greyhound dog used for hunting.",True
The largest dog was an English Mastiff who weighed 343 pounds.,True
"This dog, Naki'o, lost all of his legs to frostbite in Colorado, but now has four prosthetic legs and can run around like normal.",True
Dogs like to chew bones but cooked bones and bones that can splinter such as cooked chicken bones should not be given to dogs.,True
